title,author,price,thumb
"혼자 공부하는 머신러닝+딥러닝","박해선 ", 23,400원, /data/books/B2002963743_m.jpg
"회사에서 바로 통하는 실무 엑셀+파워포인트+워드&한글","전미진 , 이화진 , 신면철 ", 19,800원, /data/books/B8635373198_m.jpg
"IT CookBook, 데이터베이스 개론(2판)","김연희 ", 27,000원, /data/books/B8582604063_m.jpg
"IT CookBook, 시스템 프로그래밍: 리눅스&유닉스","이종원 ", 28,000원, /data/books/B3943456030_m.jpg
"눈 떠보니 선진국","박태웅 ", 14,850원, /data/books/B7123382765_m.jpg
"미라클 모닝","할 엘로드 ", 10,800원, /data/books/B8196132630_m.jpg
"심리 읽어드립니다","김경일 , 사피엔스 스튜디오 ", 15,750원, /data/books/B8953951220_m.jpg
"나도 손글씨 바르게 쓰면 소원이 없겠네","유한빈(펜크래프트) ", 10,800원, /data/books/B2272461464_m.jpg
"리얼 국내여행 [2021~2022년 최신판]","배나영 ", 16,200원, /data/books/B3530910256_m.jpg
"재미있고 빠른 첫 한글 쓰기 1권 : 모음∙자음∙쉬운 낱말","한빛학습연구회 ", 5,850원, /data/books/B7448405310_m.jpg
"재미있고 빠른 첫 한글 쓰기 2권 : 가나다 글자","한빛학습연구회 ", 5,850원, /data/books/B9960200234_m.jpg
"C#과 데이터베이스로 누구나 쉽게 주식 자동매매 시스템 만들기","이경오 ", 14,400원, /data/ebook/E1054933296_m.jpg
"유니티 개발자를 위한 C#으로 온라인 게임 서버 만들기","이석현 ", 9,900원, /data/ebook/E6015792502_m.jpg
"혼자 공부하는 파이썬","윤인성 ", 16,200원, /data/books/B2587075793_m.jpg
"이것이 취업을 위한 코딩 테스트다 with 파이썬","나동빈 ", 30,600원, /data/books/B8945183661_m.jpg
